Season,No_Overall,No_Season,Title,Director,Writer,Original_Air_Date,Prod_code,US_Viewers_Mil
8,191,21,"""The One with the Cooking Class""",Gary Halvorson,Story by : Dana Klein Borkow. Teleplay by : Brian Buckner & Sebastian Jones. ,2-May-02,227419,23.97[12]
8,192,22,"""The One Where Rachel Is Late""",Gary Halvorson,Shana Goldberg-Meehan,9-May-02,227420,24.32[12]
8,193,23,"""The One Where Rachel Has a Baby"" (Pt I)",Kevin S. Bright,Scott Silveri,16-May-02,227422,34.91
8,194,24,"""The One Where Rachel Has a Baby"" (Pt II)",Kevin S. Bright,Marta Kauffman & David Crane,16-May-02,227423,34.91
9,195,1,"""The One Where No One Proposes""",Kevin S. Bright,Sherry Bilsing-Graham & Ellen Plummer,26-Sep-02,175251,34.01[13]
9,196,2,"""The One Where Emma Cries""",Sheldon Epps,Dana Klein Borkow,3-Oct-02,175252,28.93[13]
9,197,3,"""The One with the Pediatrician""",Roger Christiansen,Brian Buckner & Sebastian Jones,10-Oct-02,175254,26.63[13]
9,198,4,"""The One with the Sharks""",Ben Weiss,Andrew Reich & Ted Cohen,17-Oct-02,175253,25.82[13]
9,199,5,"""The One with Phoebe's Birthday Dinner""",David Schwimmer,Scott Silveri,31-Oct-02,175255,24.46[13]
9,200,6,"""The One with the Male Nanny""",Kevin S. Bright,David Crane & Marta Kauffman,7-Nov-02,175256,27.51[13]
9,201,7,"""The One with Ross's Inappropriate Song""",Gary Halvorson,Robert Carlock,14-Nov-02,175257,25.35[13]
9,202,8,"""The One with Rachel's Other Sister""",Kevin S. Bright,Shana Goldberg-Meehan,21-Nov-02,175258,26.76[13]
9,203,9,"""The One with Rachel's Phone Number""",Ben Weiss,Mark Kunerth,5-Dec-02,175259,25.43[13]
9,204,10,"""The One with Christmas in Tulsa""",Kevin S. Bright,Doty Abrams,12-Dec-02,175260,22.29[13]
9,205,11,"""The One Where Rachel Goes Back to Work""",Gary Halvorson,Story by : Judd Rubin. Teleplay by : Peter Tibbals. ,9-Jan-03,175261,23.67[13]
